User_Name,Project_Type,Project_Name,Mon_Hours,Tues_Hours,Wed_Hours,Thur_Hours,Fri_Hours,Sat_Hours,Sun_Hours,Total_Hours
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Donall,1,15,5,6,6,6,5,4,4,36
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Saunderson,2,30,5,7,8,6,6,4,4,39
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Dodie,2,8,6,8,6,8,5,3,4,37
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
Freeman,1,21,8,8,6,9,6,2,5,44
